TimeStamp,ecg,ppg,
11:48:59,-457,-12658,1397
11:48:59,-457,-12658,1397
11:48:59,-457,-12658,1397
11:48:59,-451,-12641,1448
11:48:59,-451,-12641,1448
11:48:59,-451,-12641,1448
11:48:59,-451,-12641,1448
11:48:59,-420,-12613,1515
11:48:59,-420,-12613,1515
11:48:59,-420,-12613,1515
11:48:59,-420,-12613,1515
11:48:59,-433,-12596,1568
11:48:59,-433,-12596,1568
11:48:59,-433,-12596,1568
11:48:59,-433,-12596,1568
11:48:59,-394,-12616,1535
11:48:59,-394,-12616,1535
11:48:59,-394,-12616,1535
11:48:59,-394,-12616,1535
11:48:59,-401,-12693,1353
11:48:59,-401,-12693,1353
11:48:59,-401,-12693,1353
11:48:59,-401,-12693,1353
11:48:59,-405,-12806,1037
11:48:59,-405,-12806,1037
11:48:59,-405,-12806,1037
11:48:59,-405,-12806,1037
11:48:59,-439,-12953,648
11:48:59,-439,-12953,648
11:48:59,-439,-12953,648
11:48:59,-439,-12953,648
11:48:59,-498,-13092,266
11:48:59,-498,-13092,266
11:48:59,-498,-13092,266
11:48:59,-498,-13092,266
11:48:59,-505,-13186,-35
11:48:59,-505,-13186,-35
11:48:59,-505,-13186,-35
11:48:59,-505,-13186,-35
11:48:59,-525,-13251,-207
11:48:59,-525,-13251,-207
11:48:59,-525,-13251,-207
11:48:59,-525,-13251,-207
11:48:59,-503,-13277,-293
11:48:59,-503,-13277,-293
11:48:59,-503,-13277,-293
11:48:59,-503,-13277,-293
11:48:59,-508,-13273,-303
11:48:59,-508,-13273,-303
11:48:59,-508,-13273,-303
11:48:59,-508,-13273,-303
11:48:59,-513,-13266,-266
11:48:59,-513,-13266,-266
11:48:59,-513,-13266,-266
11:48:59,-513,-13266,-266
11:48:59,-502,-13250,-201
11:48:59,-502,-13250,-201
11:48:59,-502,-13250,-201
11:48:59,-502,-13250,-201
11:48:59,-507,-13212,-110
11:48:59,-507,-13212,-110
11:48:59,-507,-13212,-110
11:48:59,-507,-13212,-110
11:48:59,-477,-13164,12
11:48:59,-477,-13164,12
11:48:59,-477,-13164,12
11:48:59,-477,-13164,12
11:48:59,-484,-13120,138
11:48:59,-484,-13120,138
11:48:59,-484,-13120,138
11:48:59,-484,-13120,138
11:48:59,-497,-13091,232
11:48:59,-497,-13091,232
11:48:59,-497,-13091,232
11:48:59,-497,-13091,232
11:48:59,-487,-13077,276
11:48:59,-487,-13077,276
11:48:59,-487,-13077,276
11:48:59,-487,-13077,276
11:48:59,-492,-13084,265
11:48:59,-492,-13084,265
11:48:59,-492,-13084,265
11:48:59,-492,-13084,265
11:48:59,-500,-13086,242
11:48:59,-500,-13086,242
11:48:59,-500,-13086,242
11:48:59,-500,-13086,242
11:48:59,-483,-13112,209
11:48:59,-483,-13112,209
11:48:59,-483,-13112,209
11:48:59,-483,-13112,209
11:48:59,-487,-13114,194
11:48:59,-487,-13114,194
11:48:59,-487,-13114,194
11:48:59,-487,-13114,194
11:48:59,-490,-13094,226
11:48:59,-490,-13094,226
11:48:59,-490,-13094,226
11:48:59,-490,-13094,226
11:48:59,-492,-13082,259
11:48:59,-492,-13082,259
11:48:59,-492,-13082,259
11:48:59,-492,-13082,259
11:48:59,-492,-13042,350
11:48:59,-492,-13042,350
11:48:59,-492,-13042,350
11:48:59,-492,-13042,350
11:48:59,-476,-13017,444
11:48:59,-476,-13017,444
11:48:59,-476,-13017,444
11:48:59,-476,-13017,444
11:48:59,-442,-12986,526
11:48:59,-442,-12986,526
11:48:59,-442,-12986,526
11:48:59,-442,-12986,526
11:48:59,-480,-12949,619
11:48:59,-480,-12949,619
11:48:59,-480,-12949,619
11:48:59,-480,-12949,619
11:48:59,-486,-12920,696
11:48:59,-486,-12920,696
11:48:59,-486,-12920,696
11:48:59,-486,-12920,696
11:48:59,-522,-12896,768
11:48:59,-522,-12896,768
11:48:59,-522,-12896,768
11:48:59,-522,-12896,768
11:48:59,-500,-12876,830
11:48:59,-500,-12876,830
11:49:00,-500,-12876,830
11:49:00,-500,-12876,830
11:49:00,-366,-12854,896
11:49:00,-366,-12854,896
11:49:00,-366,-12854,896
11:49:00,-366,-12854,896
11:49:00,-332,-12838,952
11:49:00,-332,-12838,952
11:49:00,-332,-12838,952
11:49:00,-332,-12838,952
11:49:00,-780,-12817,987
11:49:00,-780,-12817,987
11:49:00,-780,-12817,987
11:49:00,-780,-12817,987
11:49:00,-463,-12795,1033
11:49:00,-463,-12795,1033
11:49:00,-463,-12795,1033
11:49:00,-463,-12795,1033
11:49:00,-486,-12793,1092
11:49:00,-486,-12793,1092
11:49:00,-486,-12793,1092
11:49:00,-486,-12793,1092
11:49:00,-481,-12768,1142
11:49:00,-481,-12768,1142
11:49:00,-481,-12768,1142
11:49:00,-481,-12768,1142
11:49:00,-439,-12750,1180
11:49:00,-439,-12750,1180
11:49:00,-439,-12750,1180
11:49:00,-439,-12750,1180
11:49:00,-465,-12729,1230
11:49:00,-465,-12729,1230
11:49:00,-465,-12729,1230
11:49:00,-465,-12729,1230
11:49:00,-450,-12709,1272
11:49:00,-450,-12709,1272
11:49:00,-450,-12709,1272
11:49:00,-450,-12709,1272
11:49:00,-474,-12690,1332
11:49:00,-474,-12690,1332
11:49:00,-474,-12690,1332
11:49:00,-474,-12690,1332
11:49:00,-450,-12675,1391
11:49:00,-450,-12675,1391
11:49:00,-450,-12675,1391
11:49:00,-450,-12675,1391
11:49:00,-451,-12637,1458
11:49:00,-451,-12637,1458
11:49:00,-451,-12637,1458
11:49:00,-451,-12637,1458
11:49:00,-430,-12654,1464
11:49:00,-430,-12654,1464
11:49:00,-430,-12654,1464
11:49:00,-430,-12654,1464
11:49:00,-418,-12716,1306
11:49:00,-418,-12716,1306
11:49:00,-418,-12716,1306
11:49:00,-418,-12716,1306
11:49:00,-428,-12835,989
11:49:00,-428,-12835,989
11:49:00,-428,-12835,989
11:49:00,-428,-12835,989
11:49:00,-444,-12990,579
11:49:00,-444,-12990,579
11:49:00,-444,-12990,579
11:49:00,-444,-12990,579
11:49:00,-452,-13138,151
11:49:00,-452,-13138,151
11:49:00,-452,-13138,151
11:49:00,-452,-13138,151
11:49:00,-469,-13261,-189
11:49:00,-469,-13261,-189
11:49:00,-469,-13261,-189
11:49:00,-469,-13261,-189
11:49:00,-517,-13343,-414
11:49:00,-517,-13343,-414
11:49:00,-517,-13343,-414
11:49:00,-517,-13343,-414
11:49:00,-490,-13379,-546
11:49:00,-490,-13379,-546
11:49:00,-490,-13379,-546
11:49:00,-490,-13379,-546
11:49:00,-503,-13393,-582
11:49:00,-503,-13393,-582
11:49:00,-503,-13393,-582
11:49:00,-503,-13393,-582
11:49:00,-486,-13392,-570
11:49:00,-486,-13392,-570
11:49:00,-486,-13392,-570
11:49:00,-486,-13392,-570
11:49:00,-484,-13371,-562
11:49:00,-484,-13371,-562
11:49:00,-484,-13371,-562
11:49:00,-484,-13371,-562
11:49:00,-484,-13362,-498
11:49:00,-484,-13362,-498
11:49:00,-484,-13362,-498
11:49:00,-484,-13362,-498
11:49:00,-469,-13333,-424
11:49:00,-469,-13333,-424
11:49:00,-469,-13333,-424
11:49:00,-469,-13333,-424
11:49:00,-457,-13295,-319
11:49:00,-457,-13295,-319
11:49:00,-457,-13295,-319
11:49:00,-457,-13295,-319
11:49:00,-469,-13253,-212
11:49:00,-469,-13253,-212
11:49:00,-469,-13253,-212
11:49:00,-469,-13253,-212
11:49:00,-490,-13229,-140
11:49:00,-490,-13229,-140
11:49:00,-490,-13229,-140
11:49:00,-490,-13229,-140
11:49:00,-495,-13224,-120
11:49:00,-495,-13224,-120
11:49:00,-495,-13224,-120
11:49:00,-495,-13224,-120
11:49:00,-495,-13225,-122
11:49:00,-495,-13225,-122
11:49:00,-495,-13225,-122
11:49:00,-495,-13225,-122
11:49:00,-485,-13231,-132
11:49:00,-485,-13231,-132
11:49:00,-485,-13231,-132
11:49:00,-485,-13231,-132
11:49:00,-491,-13236,-137
11:49:00,-491,-13236,-137
11:49:00,-491,-13236,-137
11:49:00,-491,-13236,-137
11:49:00,-487,-13222,-111
11:49:00,-487,-13222,-111
11:49:00,-487,-13222,-111
11:49:00,-487,-13222,-111
11:49:00,-487,-13202,-51
11:49:00,-487,-13202,-51
11:49:00,-487,-13202,-51
11:49:00,-487,-13202,-51
11:49:00,-477,-13172,20
11:49:00,-477,-13172,20
11:49:00,-477,-13172,20
11:49:00,-477,-13172,20
11:49:00,-493,-13141,118
11:49:00,-493,-13141,118
11:49:00,-493,-13141,118
11:49:00,-493,-13141,118
11:49:00,-446,-13101,211
11:49:00,-446,-13101,211
11:49:00,-446,-13101,211
11:49:00,-446,-13101,211
11:49:00,-473,-13063,325
11:49:00,-473,-13063,325
11:49:00,-473,-13063,325
11:49:00,-473,-13063,325
11:49:00,-455,-13031,418
11:49:00,-455,-13031,418
11:49:00,-455,-13031,418
11:49:00,-455,-13031,418
11:49:00,-400,-12999,515
11:49:00,-400,-12999,515
11:49:00,-400,-12999,515
11:49:00,-400,-12999,515
11:49:00,-438,-12976,587
11:49:00,-438,-12976,587
11:49:00,-438,-12976,587
11:49:00,-438,-12976,587
11:49:00,-461,-12953,636
11:49:00,-461,-12953,636
11:49:00,-461,-12953,636
11:49:00,-461,-12953,636
11:49:00,-498,-12925,701
11:49:00,-498,-12925,701
11:49:00,-498,-12925,701
11:49:00,-498,-12925,701
11:49:00,-492,-12897,769
11:49:00,-492,-12897,769
11:49:00,-492,-12897,769
11:49:00,-492,-12897,769
11:49:00,-451,-12891,818
11:49:00,-451,-12891,818
11:49:00,-451,-12891,818
11:49:00,-451,-12891,818
11:49:00,-220,-12867,856
11:49:00,-220,-12867,856
11:49:00,-220,-12867,856
11:49:00,-220,-12867,856
11:49:00,-913,-12853,899
11:49:00,-913,-12853,899
11:49:00,-913,-12853,899
11:49:00,-913,-12853,899
11:49:00,-486,-12840,946
11:49:00,-486,-12840,946
11:49:00,-486,-12840,946
11:49:00,-486,-12840,946
11:49:00,-483,-12811,997
11:49:00,-483,-12811,997
11:49:00,-483,-12811,997
11:49:00,-483,-12811,997
11:49:00,-450,-12800,1034
11:49:00,-450,-12800,1034
11:49:01,-450,-12800,1034
11:49:01,-450,-12800,1034
11:49:01,-435,-12778,1097
11:49:01,-435,-12778,1097
11:49:01,-435,-12778,1097
11:49:01,-435,-12778,1097
11:49:01,-447,-12765,1168
11:49:01,-447,-12765,1168
11:49:01,-447,-12765,1168
11:49:01,-447,-12765,1168
11:49:01,-464,-12729,1239
11:49:01,-464,-12729,1239
11:49:01,-464,-12729,1239
11:49:01,-464,-12729,1239
11:49:01,-463,-12707,1307
11:49:01,-463,-12707,1307
11:49:01,-463,-12707,1307
11:49:01,-463,-12707,1307
